Idea_ID,Primary_Interest,Secondary_Interest,Experience_Level,Budget_Range,Risk_Tolerance,Work_Mode,Location_Type,Business_Idea,Industry,Required_Skills,Min_Budget,Difficulty_Level,Market_Demand,Scalability,Target_Audience
1,Food,Marketing,0-1,Low,Low,Online,Urban,Home Based Cloud Kitchen,Food Service,Cooking;Marketing,Low,Easy,High,Medium,Students
2,Food,Sustainability,2-5,Medium,Medium,Offline,Semi-Urban,Organic Juice Bar,Food Service,Cooking;Supply Chain,Medium,Medium,Medium,Medium,Health Conscious
3,Food,Content,0-1,Low,Low,Online,Urban,Instagram Food Review Page,Media,Content Creation,Low,Easy,High,High,Youth
4,Food,Logistics,5+,High,Medium,Hybrid,Urban,Food Delivery Aggregator,Food Tech,Operations;Management,High,Hard,High,High,Restaurants
5,Technology,Design,0-1,Low,Low,Online,Urban,UI Freelancing Service,IT Services,UI/UX;Design,Low,Easy,High,High,Startups
6,Technology,AI,2-5,Medium,Medium,Online,Urban,AI Chatbot Development,Software,Python;ML,Medium,Hard,High,High,Enterprises
7,Technology,Security,5+,High,High,Hybrid,Urban,Cybersecurity Consultancy,IT Security,Networking;Security,High,Hard,High,Medium,Corporates
8,Technology,Education,0-1,Low,Low,Online,Urban,Coding Tutorial YouTube Channel,EdTech,Teaching;Coding,Low,Easy,High,High,Students
9,Education,Content,0-1,Low,Low,Online,Urban,Online Tutoring Platform,EdTech,Teaching;Communication,Low,Easy,High,High,School Students
10,Education,Technology,2-5,Medium,Medium,Hybrid,Semi-Urban,Digital Coaching Institute,Education,Teaching;Management,Medium,Medium,Medium,Medium,Competitive Exam Aspirants
11,Education,Design,5+,Medium,Low,Offline,Rural,Skill Training Center,Education,Training;Leadership,Medium,Medium,Medium,Low,Rural Youth
12,Fashion,Design,0-1,Low,Low,Online,Urban,Custom T Shirt Brand,Fashion,Design;Marketing,Low,Easy,High,High,College Students
13,Fashion,Marketing,2-5,Medium,Medium,Online,Urban,Instagram Boutique,Fashion,Branding;Sales,Medium,Medium,High,Medium,Women
14,Fashion,Sustainability,5+,Medium,Low,Offline,Semi-Urban,Eco Friendly Clothing Store,Fashion,Supply Chain;Retail,Medium,Medium,Medium,Low,Environment Aware
15,Agriculture,Sustainability,5+,Low,Low,Offline,Rural,Organic Vegetable Farming,Agriculture,Farming;Planning,Low,Medium,High,Low,Local Markets
16,Agriculture,Technology,2-5,Medium,Medium,Hybrid,Rural,Smart Irrigation Service,AgriTech,IoT;Farming,Medium,Hard,Medium,Medium,Farmers
17,Agriculture,Marketing,0-1,Low,Low,Online,Rural,Farm Produce Marketplace,AgriTech,Sales;Logistics,Low,Easy,Medium,Medium,Farmers
18,Health,Fitness,0-1,Low,Low,Online,Urban,Online Fitness Coaching,Health,Training;Content,Low,Easy,High,High,Working Professionals
19,Health,Nutrition,2-5,Medium,Medium,Hybrid,Urban,Diet Consultation Service,Health,Nutrition;Counselling,Medium,Medium,High,Medium,Adults
20,Health,Technology,5+,High,High,Online,Urban,Health Monitoring App,HealthTech,App Dev;ML,High,Hard,High,High,Patients
21,Travel,Content,0-1,Low,Low,Online,Urban,Travel Vlogging Channel,Media,Video Editing,Low,Easy,High,High,Youth
22,Travel,Logistics,2-5,Medium,Medium,Hybrid,Urban,Customized Travel Planner,Travel,Planning;Sales,Medium,Medium,Medium,Medium,Families
23,Travel,Sustainability,5+,Medium,Low,Offline,Rural,Rural Tourism Service,Hospitality,Operations,Medium,Medium,Medium,Low,Foreign Tourists
24,Finance,Education,0-1,Low,Low,Online,Urban,Personal Finance Blog,FinTech,Writing;Finance,Low,Easy,High,High,Young Earners
25,Finance,Technology,2-5,Medium,Medium,Online,Urban,Expense Tracking App,FinTech,App Dev;Finance,Medium,Hard,High,High,Professionals
26,Finance,Consulting,5+,High,High,Hybrid,Urban,Investment Advisory Firm,Finance,Analysis;Advisory,High,Hard,High,Medium,Investors
27,Media,Design,0-1,Low,Low,Online,Urban,Freelance Graphic Design,Creative,Design,Low,Easy,High,High,Startups
28,Media,Marketing,2-5,Medium,Medium,Online,Urban,Digital Marketing Agency,Marketing,SEO;Ads,Medium,Medium,High,High,Small Businesses
29,Media,Production,5+,High,High,Offline,Urban,Video Production Studio,Media,Filmmaking,High,Hard,Medium,Medium,Brands
30,Logistics,Technology,2-5,Medium,Medium,Hybrid,Urban,Last Mile Delivery Service,Logistics,Operations;Tech,Medium,Hard,High,Medium,Ecommerce Sellers
31,Logistics,Planning,5+,High,Medium,Offline,Urban,Warehouse Management Service,Logistics,Management,High,Hard,Medium,Low,Manufacturers
32,RealEstate,Marketing,2-5,Medium,Medium,Offline,Urban,Real Estate Brokerage,Property,Sales;Negotiation,Medium,Medium,High,Low,Buyers
33,RealEstate,Technology,5+,High,High,Online,Urban,Property Listing Portal,PropTech,Web Dev;Sales,High,Hard,High,High,Investors
34,Automobile,Service,0-1,Low,Low,Offline,Semi-Urban,Two Wheeler Repair Shop,Automobile,Repair,Low,Easy,High,Low,Commuters
35,Automobile,Technology,2-5,Medium,Medium,Hybrid,Urban,EV Charging Station,Energy,Electrical,Medium,Medium,High,Medium,EV Owners
36,Energy,Sustainability,5+,High,High,Offline,Rural,Solar Panel Installation,Renewable Energy,Electrical;Planning,High,Hard,High,Medium,Farm Owners
37,PetCare,Service,0-1,Low,Low,Offline,Urban,Pet Grooming Service,Pet Care,Handling,Low,Easy,High,Low,Pet Owners
38,PetCare,Content,2-5,Low,Low,Online,Urban,Pet Care YouTube Channel,Media,Content Creation,Low,Easy,High,High,Pet Lovers
